z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.291922,0.278210,0.904545,0.316201,0.100950,-0.244863,0.200524
0.300696,0.288326,0.939394,0.310058,0.103992,-0.290059,0.208820
0.308877,0.299096,0.968182,0.327720,0.106963,-0.227699,0.227413
0.317569,0.308364,0.986364,0.330600,0.109698,-0.329821,0.241716
0.326819,0.317229,0.986364,0.345575,0.112787,-0.368724,0.200524
0.335204,0.325854,1.000000,0.355942,0.115515,-0.323814,0.316948
0.342525,0.335141,1.000000,0.374757,0.117701,-0.428224,0.386174
0.349448,0.342543,1.000000,0.391268,0.119263,-0.371871,0.378736
0.355809,0.349096,1.000000,0.403747,0.121843,-0.464266,0.386174
0.362157,0.354485,1.000000,0.440800,0.124944,-0.556090,0.395327
0.366083,0.359034,0.986364,0.472862,0.128433,-0.513754,0.452252
0.369844,0.362843,0.986364,0.493213,0.132067,-0.537782,0.492872
0.372231,0.365039,0.946970,0.529498,0.134399,-0.584409,0.450536
0.373377,0.366185,0.900000,0.554456,0.135617,-0.596996,0.359570
0.373303,0.366015,0.900000,0.590934,0.135537,-0.583551,0.496877
0.372041,0.364656,0.845455,0.617428,0.134134,-0.619880,0.506603
0.369341,0.362005,0.783333,0.640850,0.131463,-0.516900,0.429940
0.365361,0.358265,0.718182,0.671184,0.127684,-0.523766,0.279761
0.360428,0.353379,0.718182,0.698638,0.122819,-0.501740,0.417354
0.354540,0.347491,0.643939,0.722444,0.117044,-0.542359,0.431942
0.348474,0.341233,0.562121,0.745291,0.111046,-0.496018,0.443957
0.341560,0.334033,0.562121,0.768905,0.104340,-0.565530,0.339547
0.334356,0.325582,0.486364,0.791943,0.097397,-0.458259,0.448247
0.326761,0.316692,0.406061,0.809990,0.090575,-0.546650,0.240000
0.317153,0.307468,0.328788,0.840516,0.083154,-0.389034,0.391895
0.306204,0.297766,0.328788,0.843395,0.075544,-0.427079,0.397616
0.295384,0.284931,0.254545,0.875457,0.068731,-0.414493,0.231418
0.285096,0.273494,0.183333,0.893120,0.063559,-0.577544,0.400476
0.272520,0.261973,0.183333,0.904639,0.058154,-0.493158,0.276901
0.259626,0.249221,0.116667,0.920766,0.053456,-0.474278,0.314660
0.247129,0.235766,0.071212,0.926334,0.049905,-0.456257,0.257163
0.233987,0.221138,0.039394,0.942076,0.046155,-0.285768,0.128725
0.220059,0.207210,0.039394,0.936125,0.042361,-0.324386,0.178212
