z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.002275,0.021689,0.027491,0.070813,0.245950,0.170912,0.245811,0.169952
0.001283,0.023235,0.027237,0.070916,0.246049,0.170917,0.245811,0.169942
0.000169,0.024363,0.027714,0.070868,0.246061,0.170987,0.245811,0.169871
-0.000817,0.024644,0.028324,0.070853,0.246065,0.171030,0.245811,0.169719
-0.001470,0.024072,0.029100,0.070798,0.246022,0.171066,0.245811,0.169567
-0.001942,0.023502,0.029499,0.070703,0.245957,0.171101,0.245811,0.169526
-0.002128,0.022586,0.029499,0.070716,0.245936,0.171062,0.245811,0.169506
-0.002286,0.021419,0.029759,0.070681,0.245884,0.171045,0.245811,0.169475
-0.002237,0.019323,0.030039,0.070689,0.245828,0.170983,0.245811,0.169374
-0.001919,0.016578,0.030551,0.070614,0.245709,0.170936,0.245811,0.169303
-0.001300,0.014061,0.031220,0.070437,0.245545,0.170933,0.245811,0.169252
-0.000297,0.012423,0.031314,0.070383,0.245470,0.170902,0.245811,0.169252
0.000890,0.011144,0.030886,0.070526,0.245505,0.170787,0.245811,0.169232
0.002064,0.009627,0.030751,0.070582,0.245491,0.170711,0.245801,0.169212
0.003082,0.007741,0.030947,0.070554,0.245425,0.170666,0.245811,0.169191
0.003650,0.005943,0.031385,0.070422,0.245309,0.170673,0.245811,0.169181
0.003919,0.004396,0.031255,0.070432,0.245274,0.170616,0.245811,0.169181
0.004067,0.003471,0.030887,0.070543,0.245303,0.170525,0.245811,0.169181
0.004144,0.003156,0.030934,0.070531,0.245288,0.170521,0.245811,0.169181
0.004281,0.002626,0.030993,0.070508,0.245266,0.170518,0.245811,0.169181
0.004674,0.001412,0.030888,0.070519,0.245240,0.170471,0.245801,0.169181
0.005354,0.000585,0.031042,0.070483,0.245200,0.170461,0.245801,0.169181
0.006259,0.000174,0.031199,0.070427,0.245161,0.170476,0.245801,0.169181
0.007588,-0.000026,0.031181,0.070434,0.245160,0.170466,0.245811,0.169181
0.009389,-0.000009,0.031044,0.070480,0.245184,0.170442,0.245811,0.169181
0.011455,-0.000144,0.031210,0.070431,0.245156,0.170463,0.245811,0.169181
0.013869,-0.000136,0.031424,0.070363,0.245121,0.170497,0.245811,0.169181
0.016323,0.000174,0.031489,0.070352,0.245124,0.170515,0.245811,0.169171
0.018664,0.000391,0.031469,0.070364,0.245135,0.170515,0.245811,0.169171
0.020947,0.000831,0.031598,0.070347,0.245136,0.170538,0.245811,0.169161
0.023075,0.001304,0.031856,0.070272,0.245111,0.170593,0.245811,0.169161
0.025097,0.001830,0.032011,0.070222,0.245099,0.170635,0.245811,0.169161
0.027227,0.002429,0.031940,0.070241,0.245124,0.170645,0.245811,0.169161
0.029360,0.003020,0.031895,0.070265,0.245151,0.170652,0.245811,0.169161
0.031708,0.003652,0.031985,0.070237,0.245153,0.170686,0.245811,0.169161
0.034128,0.004215,0.032007,0.070241,0.245170,0.170704,0.245811,0.169161
0.036591,0.004866,0.031904,0.070265,0.245199,0.170713,0.245811,0.169161
0.038930,0.005365,0.031740,0.070318,0.245239,0.170703,0.245811,0.169161
0.041150,0.005925,0.031698,0.070342,0.245265,0.170709,0.245811,0.169161
0.043179,0.006637,0.031742,0.070334,0.245281,0.170737,0.245811,0.169161
0.044946,0.007226,0.031689,0.070348,0.245304,0.170751,0.245811,0.169161
0.046576,0.007822,0.031673,0.070358,0.245323,0.170763,0.245811,0.169161
0.048113,0.008388,0.031663,0.070363,0.245343,0.170782,0.245811,0.169161
0.049643,0.008874,0.031780,0.070341,0.245345,0.170810,0.245811,0.169161
0.051162,0.009438,0.031787,0.070332,0.245355,0.170833,0.245811,0.169161
0.052698,0.009998,0.031817,0.070333,0.245372,0.170852,0.245811,0.169161
0.054220,0.010315,0.031838,0.070324,0.245376,0.170869,0.245811,0.169161
0.055644,0.010584,0.031880,0.070322,0.245383,0.170879,0.245811,0.169161
0.056800,0.010916,0.031961,0.070289,0.245375,0.170906,0.245811,0.169161
0.057771,0.011157,0.031975,0.070282,0.245379,0.170919,0.245811,0.169161
