z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.666390,-0.021689,-0.001023,-0.001266,0.102422,0.103951,0.109924,0.113227
0.666377,-0.021688,-0.001047,-0.001264,0.102423,0.103950,0.109924,0.113227
0.666377,-0.021669,-0.001059,-0.001260,0.102426,0.103949,0.109924,0.113227
0.666367,-0.021670,-0.001068,-0.001258,0.102427,0.103947,0.109924,0.113227
0.666351,-0.021686,-0.001063,-0.001260,0.102426,0.103948,0.109924,0.113227
0.666394,-0.021717,-0.001078,-0.001256,0.102427,0.103945,0.109924,0.113227
0.666378,-0.021717,-0.001060,-0.001252,0.102429,0.103944,0.109924,0.113227
0.666333,-0.021701,-0.001067,-0.001255,0.102428,0.103945,0.109924,0.113227
0.666375,-0.021729,-0.001059,-0.001260,0.102425,0.103947,0.109924,0.113227
0.666374,-0.021722,-0.001018,-0.001269,0.102420,0.103952,0.109924,0.113227
0.666367,-0.021725,-0.001015,-0.001267,0.102421,0.103951,0.109924,0.113227
0.666377,-0.021714,-0.001016,-0.001269,0.102420,0.103952,0.109924,0.113227
0.666324,-0.021690,-0.001009,-0.001272,0.102419,0.103955,0.109924,0.113227
0.666331,-0.021676,-0.001018,-0.001272,0.102420,0.103955,0.109924,0.113227
0.666280,-0.021655,-0.001059,-0.001268,0.102422,0.103953,0.109924,0.113227
0.666271,-0.021693,-0.001044,-0.001265,0.102423,0.103951,0.109924,0.113227
0.666287,-0.021679,-0.001000,-0.001275,0.102419,0.103956,0.109924,0.113227
0.666305,-0.021691,-0.001023,-0.001269,0.102421,0.103953,0.109924,0.113227
0.666287,-0.021636,-0.001002,-0.001274,0.102420,0.103957,0.109924,0.113227
0.666290,-0.021661,-0.000999,-0.001276,0.102418,0.103958,0.109924,0.113227
0.666245,-0.021667,-0.001067,-0.001257,0.102428,0.103947,0.109924,0.113227
0.666258,-0.021712,-0.001071,-0.001253,0.102429,0.103945,0.109924,0.113227
0.666252,-0.021720,-0.001084,-0.001258,0.102426,0.103947,0.109924,0.113227
0.666252,-0.021713,-0.001058,-0.001263,0.102423,0.103949,0.109924,0.113227
0.666257,-0.021750,-0.001061,-0.001256,0.102426,0.103945,0.109924,0.113227
0.666291,-0.021735,-0.001052,-0.001260,0.102424,0.103947,0.109924,0.113227
0.666263,-0.021752,-0.001061,-0.001259,0.102424,0.103946,0.109924,0.113227
0.666273,-0.021800,-0.001105,-0.001248,0.102429,0.103939,0.109924,0.113227
0.666272,-0.021818,-0.001131,-0.001238,0.102434,0.103934,0.109924,0.113227
0.666212,-0.021777,-0.001148,-0.001237,0.102435,0.103934,0.109924,0.113227
0.666210,-0.021787,-0.001137,-0.001240,0.102433,0.103936,0.109924,0.113227
0.666205,-0.021769,-0.001123,-0.001240,0.102433,0.103935,0.109924,0.113227
0.666186,-0.021775,-0.001169,-0.001232,0.102438,0.103932,0.109924,0.113227
0.666212,-0.021793,-0.001165,-0.001227,0.102440,0.103929,0.109924,0.113227
0.666229,-0.021816,-0.001184,-0.001227,0.102440,0.103928,0.109924,0.113227
0.666220,-0.021802,-0.001209,-0.001216,0.102445,0.103923,0.109924,0.113227
